"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Symptom LogicalModel FHIR Mapping","Mapping: RIM Mapping"
"mii-lm-symptom","mii-lm-symptom","","","",0,*,"","","","null {[]} {[]}
","MII LM Symptom","Logische Repräsentation des Basismoduls Symptom/klinischer Phänotyp","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"mii-lm-symptom.Condition.Kategorie","mii-lm-symptom.Condition.Kategorie","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Kategorien der Condition (z.B. problem-list-item | encounter-diagnosis)","Kategorien der Condition (z.B. problem-list-item | encounter-diagnosis)","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Kategorie",0,*,"","","Condition.category"
"mii-lm-symptom.Condition.Lokalisation","mii-lm-symptom.Condition.Lokalisation","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Lokalisation eines Symptoms etc. Körperstellen (Lokalisationen) werden SNOMED CT kodiert.","Lokalisation eines Symptoms etc. Körperstellen (Lokalisationen) werden SNOMED CT kodiert.","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Lokalisation",0,*,"","","Conditon.bodySite"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum","mii-lm-symptom.Condition.KlinischRelevanterZeitraum","","","",0,1,"","","","BackboneElement {[]} {[]}
","Zeitspanne des Vorhandenseins des Symptoms, der Erkrankung, der Diagnose, der Disposition, des Phänotyps","Zeitspanne des Vorhandenseins des Symptoms, der Erkrankung, der Diagnose, der Disposition, des Phänotyps","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.KlinischRelevanterZeitraum",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Conditon.onset[x]","Conditon.abatement[x]"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.id","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.extension","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.modifierExtension","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Zeitraum","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Zeitraum","","","",0,1,"","","","Period {[]} {[]}
","Klinisch relevanter Zeitraum als Zeitintervall mit von/am und bis.","Klinisch relevanter Zeitraum als Zeitintervall mit von/am und bis.","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Zeitraum",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
per-1:If present, start SHALL have a lower value than end {start.hasValue().not() or end.hasValue().not() or (start <= end)}","Conditon.onsetPeriod","Conditon.abatementPeriod"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Zeitraum.id","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Zeitraum.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Zeitraum.extension","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Zeitraum.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Zeitraum.start","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Zeitraum.start","","","",0,1,"","","Y","dateTime {[]} {[]}
","Startzeitpunkt: Zeitpunkt des Beginns des Symptoms, der Erkrankung, der Diagnose, der Disposition, des Phänotyps","Startzeitpunkt: Zeitpunkt des Beginns des Symptoms, der Erkrankung, der Diagnose, der Disposition, des Phänotyps","If the low element is missing, the meaning is that the low boundary is not known.","","","","","","","","",,,,,"",,,,"Period.start",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Conditon.onsetPeriod.start","Conditon.abatementPeriod.start","./low"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Zeitraum.end","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Zeitraum.end","","","",0,1,"","","Y","dateTime {[]} {[]}
"," Endzeitpunkt: Zeitpunkt des Verschwindens des Symptoms, der Erkrankung, der Diagnose, der Disposition, des Phänotyps"," Endzeitpunkt: Zeitpunkt des Verschwindens des Symptoms, der Erkrankung, der Diagnose, der Disposition, des Phänotyps","The high value includes any matching date/time. i.e. 2012-02-03T10:00:00 is in a period that has an end value of 2012-02-03.","","","If the end of the period is missing, it means that the period is ongoing","","","","","",,,,,"",,,,"Period.end",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Conditon.onsetPeriod.end","Conditon.abatementPeriod.end","./high"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase","","","",0,1,"","","","BackboneElement {[]} {[]}
","Zusätzlich zu einem Zeitraum ist die Angabe der Lebensphase, zu der eine Krankheit vorlag/vorliegt, möglich. Hiermit lässt sich beispielsweise angeben, dass eine Person eine Krankheit bereits als Säugling gehabt hat. Das entsprechende ValueSet ist derzeit noch in Arbeit.","Zusätzlich zu einem Zeitraum ist die Angabe der Lebensphase, zu der eine Krankheit vorlag/vorliegt, möglich. Hiermit lässt sich beispielsweise angeben, dass eine Person eine Krankheit bereits als Säugling gehabt hat. Das entsprechende ValueSet ist derzeit noch in Arbeit.","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.onsetPeriod.start.extension.where(url='http://fhir.de/StructureDefinition/lebensphase')","Condition.onsetPeriod.end.extension.where(url='http://fhir.de/StructureDefinition/lebensphase')"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase.id","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase.extension","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase.modifierExtension","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase.von","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase.von","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Lebensphase Start","Lebensphase Start","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase.von",0,1,"","","Condition.onsetPeriod.start.extension.where(url='http://fhir.de/StructureDefinition/lebensphase').valueCodeableConcept"
"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase.bis","mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase.bis","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Lebensphase Ende","Lebensphase Ende","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.KlinischRelevanterZeitraum.Lebensphase.bis",0,1,"","","Condition.onsetPeriod.end.extension.where(url='http://fhir.de/StructureDefinition/lebensphase').valueCodeableConcept"
"mii-lm-symptom.Condition.Beobachtungszeitpunkt","mii-lm-symptom.Condition.Beobachtungszeitpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","Zeitpunkt der Beobachtung/Feststellung des Symptoms, Erkrankung, Diagnose, Disposition.","Zeitpunkt der Beobachtung/Feststellung des Symptoms, Erkrankung, Diagnose, Disposition.","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Beobachtungszeitpunkt",0,1,"","","Conditon.extension.where(url='http://hl7.org/fhir/StructureDefinition/condition-assertedDate')"
"mii-lm-symptom.Condition.Dokumentationszeitpunkt","mii-lm-symptom.Condition.Dokumentationszeitpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","Zeitpunkt der Dokumentation das Symptoms, Erkrankung, Diagnose, Disposition","Zeitpunkt der Dokumentation das Symptoms, Erkrankung, Diagnose, Disposition","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Dokumentationszeitpunkt",0,1,"","","Condition.recordedDate"
"mii-lm-symptom.Condition.Status","mii-lm-symptom.Condition.Status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status des Symptoms, Erkrankung, Diagnose, Disposition: ""Aktiv"", ""Zustand nach"", ""in Remission"", ""beseitigt/geheilt""). Codiert z. B. mit ValueSet aus FHIR oder SNOMED CT.","Status des Symptoms, Erkrankung, Diagnose, Disposition: ""Aktiv"", ""Zustand nach"", ""in Remission"", ""beseitigt/geheilt""). Codiert z. B. mit ValueSet aus FHIR oder SNOMED CT.","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Status",1,1,"","","Condition.clinicalStatus"
"mii-lm-symptom.Condition.Schweregrad","mii-lm-symptom.Condition.Schweregrad","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Schweregrad des Symptoms, Erkrankung, Diagnose, Disposition. Codesystem: SNOMED CT.","Schweregrad des Symptoms, Erkrankung, Diagnose, Disposition. Codesystem: SNOMED CT.","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Schweregrad",0,1,"","","Condition.severity"
"mii-lm-symptom.Condition.Verifikationsstatus","mii-lm-symptom.Condition.Verifikationsstatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Empirische, epistemologische, algorithmische, diagnostische Gewissheit  des Symptoms, Erkrankung, Diagnose, Disposition. Codesystem: SNOMED CT.","Empirische, epistemologische, algorithmische, diagnostische Gewissheit  des Symptoms, Erkrankung, Diagnose, Disposition. Codesystem: SNOMED CT.","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Verifikationsstatus",0,1,"","","Condition.verificationStatus"
"mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz","mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz","","","",0,*,"","","","BackboneElement {[]} {[]}
","Die dem Symptom, Erkrankung, Diagnose, Disposition zugrundeliegend Beobachtung","Die dem Symptom, Erkrankung, Diagnose, Disposition zugrundeliegend Beobachtung","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.evidence"
"mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.id","mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.extension","mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.modifierExtension","mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.BeschreibungZugrundeliegendeBeobachtung","mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.BeschreibungZugrundeliegendeBeobachtung","","","",0,1,"","","","string {[]} {[]}
","Natürlichsprachige Beschreibung einer dem Symptom zugrundeliegenden Beobachtung,  Symptoms, Erkrankung, Diagnose, Disposition","Natürlichsprachige Beschreibung einer dem Symptom zugrundeliegenden Beobachtung,  Symptoms, Erkrankung, Diagnose, Disposition","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.BeschreibungZugrundeliegendeBeobachtung",0,1,"","","Condition.evidence.code.text"
"mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.CodeZugrundeliegendeBeobachtung","mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.CodeZugrundeliegendeBeobachtung","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Code der zugrundeliegenden Beobachtung des  Symptoms, Erkrankung, Diagnose, Disposition: SNOMED CT, LOINC","Code der zugrundeliegenden Beobachtung des  Symptoms, Erkrankung, Diagnose, Disposition: SNOMED CT, LOINC","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.CodeZugrundeliegendeBeobachtung",0,*,"","","Condition.evidence.code"
"mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.LinkAufZugrundeliegendeBeobachtung","mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.LinkAufZugrundeliegendeBeobachtung","","","",0,*,"","","","Reference {[]} {[]}
","Link auf die dem Symptom zugrundeliegenden Beobachtung für das  Symptoms, Erkrankung, Diagnose, Disposition","Link auf die dem Symptom zugrundeliegenden Beobachtung für das  Symptoms, Erkrankung, Diagnose, Disposition","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.ZugrundeliegendeBeobachtungEvidenz.LinkAufZugrundeliegendeBeobachtung",0,*,"","","Condition.evidence.detail"
"mii-lm-symptom.Condition.Stadium","mii-lm-symptom.Condition.Stadium","","","",0,*,"","","","BackboneElement {[]} {[]}
","Stadium der Condition","Stadium der Condition","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Stadium",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.stage"
